,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs
0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,6,0,0,7,0,0,7,5,0,4,0,0,0.0,161909220.3594808,758100000.0,0.0,0.0,920009220.3594809
1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,1,0,0,7,0,1,1,0,4,0,0,0,463332722.2572116,114495855.26483326,176700000.0,19897.57863877232,0.036600272879743004,291215752.84347206
2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,7,0,0,3,0,0,6,6,0,7,0,0,98169230.48567446,169691205.48473787,176700000.0,2662.841056691077,0.01235746613977357,346393868.3257946
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,7,0,0,7,2,0,3,6,0,7,1,0,8404116.963811234,276118761.32126725,30700000.0,275.7903985921732,0.0013769727314513125,306819037.11166584
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,0,7,0,0,9,2,0,2,7,0,7,1,1,0.0,322980993.33068824,30700000.0,0.0,0.0,353680993.33068824
5,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,1,3,0,0,0,776891386.8366702,46461865.899062574,176700000.0,33286.19294890006,0.0594624510137564,223195152.09201148
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,2,3,1,0,0,924948762.1202202,117923360.34246458,30700000.0,0.0,0.5987616576952972,148623360.34246457
7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,5,2,0,0,0,1067245676.2333392,88437043.00681613,30700000.0,0.0,0.8079010443676211,119137043.00681613
8,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,1,1,0,0,0,423530910.20359147,49077991.7376482,382500000.0,18399.29338541077,0.03322396392047022,431596391.0310336
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,3,0,3,0,3,0,0,0,1280561337.5563245,124930838.09959933,0.0,55399.43192244337,0.100703049815004,124986237.53152178
10,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,3,0,0,0,0,0,0,5,0,0,5,2,0,0,0,0,368294085.54258347,48540554.94074236,503700000.0,15890.334338198372,0.028286380894678612,552256445.2750806
11,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,3,0,0,0,7,0,0,5,0,0,0,2,0,4,0,0,24972026.873216107,142823044.17827645,771800000.0,879.5755203255687,0.0037888920136466115,914623923.7537967
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,0,0,8,3,1,3,2,6,7,0,0,8558416.008398458,289574359.35288745,0.0,276.62932197469496,0.0014220670475177948,289574635.98220944
13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,3,1,3,0,0,1,737887452.5898519,133051766.83810733,61400000.0,0.0,0.4813162192199237,194451766.83810735
14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,5,0,0,0,0,1418109668.7512505,70167052.32272284,30700000.0,36321.63711858583,0.1416198971750885,100903373.95984143
15,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1331627771.7995355,31863013.5609688,176700000.0,53919.60885872427,0.14678556454577069,208616933.16982755
16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,0,0,0,2,0,0,0,0,839679464.4356843,73385680.5872328,61400000.0,28304.232920278257,0.08333104033513768,134813984.8201531
17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,4014363628.728435,41577188.17503481,30700000.0,0.0,2.0112499294703476,72277188.17503482
18,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,6,0,0,0,6,0,0,0,0,799074089.2965927,81240458.9545918,92100000.0,33837.068534364145,0.061156080205785654,173374296.02312618
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,7,0,0,0,6,6,1,0,0,1193969548.8346572,129534490.69616078,0.0,41008.72363621287,0.11891176863750033,129575499.41979699
20,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,0,4,0,0,1,5,0,0,0,0,368294085.54258347,76866082.03180504,419100000.0,12790.51532904225,0.035357976118348275,495978872.5471341
21,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,2,5,5,7,0,0,33848663.068786785,184904547.52358273,115300000.0,0.0,0.02028283480957261,300204547.5235827
22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,3148945642.0693736,65419080.94613461,30700000.0,21060.19560621321,0.5959959008129543,96140141.14174083
23,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0,3,0,0,4,0,0,0,2,0,0,0,0,233072366.43319595,81578159.32492833,357700000.0,7847.1945895068,0.02762077925879617,439286006.51951784
24,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,571526571.8797,70969301.80373673,176700000.0,0.0,0.37326721699737336,247669301.80373675
25,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,691124907.6046898,32724179.85197268,357700000.0,27872.5414310462,0.05843949118090499,390452052.39340377
26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,7,0,0,5,0,0,1,2,0,0,0,0,316361514.9020295,153272474.62257835,121200000.0,0.0,0.38308928096967987,274472474.6225784
27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,4,0,0,0,6,0,0,0,0,835087069.4993649,92962343.72804213,61400000.0,29019.192279173392,0.08817088089234805,154391362.9203213
28,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,2,1,0,0,3,0,0,6,0,0,2,0,3,0,0,1,86352129.88276838,153346691.32573938,388400000.0,3127.6571852734032,0.008880355765285711,541749818.9829247
29,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,6,0,0,6,0,0,3,2,0,8,0,0,24749453.75767202,204762203.1897841,146000000.0,824.854425628954,0.003995635246154488,350763028.0442097
30,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,2,5,2,1,0,0,164810567.654125,132725214.12553956,290400000.0,0.0,0.1312550011684646,423125214.12553954
31,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,10,0,3,5,6,0,6,0,0,0.0,250318048.90263775,199900000.0,0.0,0.0,450218048.9026377
32,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,7,0,0,5,0,0,0,2,0,3,0,0,157983686.79280266,139797453.66345936,371400000.0,4591.577471740515,0.022217646082439466,511202045.2409311
