,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,6,0,0,0,0,0,23508734.297619976,133977261.91904779,61400000.0,0.0,0.028522929409318887,195377261.91904777
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,10,0,0,7,0,0,7,4,0,0,4,0,9362784.03059283,193651717.8294288,61400000.0,698.7733726836904,0.001942104492772582,255052416.60280147
2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,10,0,0,7,0,0,6,4,3,0,0,0,1924739.7883531577,170023300.49414986,151900000.0,108.20836665949398,0.0003678988477858609,321923408.7025165
3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,6,0,0,4,4,0,0,0,0,29935206.933237627,133461256.00766361,30700000.0,1641.3167313856893,0.007037688567160455,164162897.324395
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,9,0,7,5,2,0,5,0,0,5773827.292755555,242858558.12356526,0.0,419.5290762557192,0.0008537633570933304,242858977.6526415
5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,7,0,0,7,4,0,0,0,0,19022211.030823946,150741210.30237365,30700000.0,1171.4474493451926,0.0034987190032905032,181442381.749823
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,1,7,1,0,0,0,45990808.20427795,142016087.4017187,30700000.0,0.0,0.05767536126047283,172716087.4017187
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,7,0,9,2,3,5,6,4,7,2,0,2144333.575748544,426813911.6047747,0.0,146.279114120292,0.00041098105277142714,426814057.88388884
8,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,9,0,0,7,0,0,5,0,0,0,0,0,2802165.38169236,135282339.62613508,213300000.0,0.0,0.003009046521148786,348582339.6261351
9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,649690194.2859403,31398797.71871161,61400000.0,0.0,0.6933992539792333,92798797.71871161
10,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,9,0,0,6,0,0,6,2,0,0,2,0,10373800.846826442,170525255.0357411,146000000.0,412.5324975098316,0.004923315076859844,316525667.5682386
11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,8,0,0,6,0,0,7,1,1,0,0,7,12422258.738432964,187398302.7371312,61400000.0,704.9853505853447,0.0023038061953700433,248799007.7224818
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,9,0,0,4,9,0,0,0,0,15125536.966641156,161050363.95103917,0.0,911.2039917175725,0.002704005220876405,161051275.15503088
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,2,1,2,0,0,0,59114565.92994461,137700895.1370084,0.0,0.0,0.07746778569074642,137700895.1370084
14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7,0,0,5,6,0,0,2,0,10647968.746771714,187282942.528784,115300000.0,0.0,0.014006013278178638,302582942.52878404
15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,9,0,0,7,1,0,7,0,0,0,0,0,11714670.794738827,164157102.50316182,121200000.0,814.3451638524203,0.0019660003449864768,285357916.84832567
16,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,7,0,0,6,0,0,5,4,0,0,0,0,18232564.117425982,127251821.21720262,92100000.0,1297.7396340594087,0.0026418826202747707,219353118.95683667
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,266758149.91869208,90808900.6494509,30700000.0,21230.389988487408,0.032079397190641915,121530131.03943938
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,4,0,0,0,0,90337283.814619,114409443.35182531,0.0,0.0,0.09646428795279297,114409443.35182531
19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7,0,0,4,1,0,0,0,0,27225196.62687711,150672203.4017089,30700000.0,0.0,0.029595632724502014,181372203.4017089
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,6,1,2,0,0,0,67024111.65803155,137132342.8466692,0.0,0.0,0.0812714252948013,137132342.8466692
21,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,7,0,0,9,0,0,3,0,0,0,0,0,19297712.70571624,122377909.33813386,559900000.0,0.0,0.022723684021889724,682277909.3381338
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,1,4,6,0,4,0,0,7724136.203566959,220839225.040546,0.0,0.0,0.008660006737172384,220839225.040546
23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,665276050.0311642,37719598.02837785,30700000.0,24227.604659427656,0.25878708631402647,68443825.63303728
24,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,10,0,0,6,0,0,7,1,0,0,3,0,1385469.9718710675,183534207.65817618,297900000.0,62.327610748427695,0.0006891654664442956,481434269.9857869
25,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,5,0,0,4,0,0,0,4,0,0,0,0,184639194.2344556,95508677.83521077,151900000.0,13959.143275831997,0.024700633285224528,247422636.9784866
26,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,8,0,0,7,0,0,5,0,2,0,0,0,10377262.928070817,135241130.65943483,182600000.0,0.0,0.012807681953397973,317841130.6594348
27,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,637832601.2720362,39852205.41531966,92100000.0,38991.638500928144,0.10110910849880708,131991197.05382058
28,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,8,0,0,6,0,0,5,0,1,0,0,0,12422258.738432964,131222086.61084318,317500000.0,0.0,0.01535870796913362,448722086.6108432
