,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2
9,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,3,0,5,2,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,9,0,4,2,4,0,7,2,0
23,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,8,0,0,1,4,0,3,0,0
33,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,5,0,0,7,0,0,1,3,0,0,0,0
70,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0
80,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,5,0,0,7,0,0,3,0,0,0,0,0
3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,9,3,0,4,0,6,4,0,0
5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,7,0,0,9,7,0,4,0,6,4,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,7,2,0,10,0,0,2,0,1,7,0,0
34,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,7,0,0,7,0,0,4,0,0,3,0,0
51,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,7,0,0,7,0,0,6,0,0,3,0,0
60,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,3,7,0,0,7,0,0,8,0,0,4,0,1,6,0,0
62,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0,7,0,0,7,0,0,1,0,0,3,0,0
76,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,2,0,7,0,0,9,0,0,2,0,1,7,0,0
83,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,7,0,0,7,0,0,3,3,0,3,0,0
113,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,6,0,0,7,0,0,3,0,0,7,0,0
2,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,6,0,0,7,0,0,3,0,5,7,0,3
9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,7,0,0,10,3,0,3,3,1,6,1,0
14,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,7,0,0,9,3,0,2,3,1,6,0,0
16,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,3,0,0,0,6,0,0,9,0,0,3,7,7,7,0,5
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,3,7,0,0,10,5,0,3,1,3,7,4,0
15,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,7,0,0,2,5,0,2,0,0
18,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,9,0,0,3,0,0,4,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,9,0,0,7,2,3,5,0,3
